                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.1681,                0.75771,                 1.6137,                0.74926,                0.68629,                0.69973,                0.61113,                 1.1955,                 1.8396,                 1.5974,             0.00017764,             0.00017764,             0.00017764
                    122,                 1.1597,                0.74308,                  1.626,                0.73288,                0.62236,                0.68623,                0.60113,                 1.1968,                 1.7575,                 1.5958,             0.00017718,             0.00017718,             0.00017718
                    123,                 1.2254,                0.76827,                 1.6002,                0.62349,                0.66894,                0.71513,                0.62604,                 1.2367,                 1.6974,                 1.5995,             0.00017672,             0.00017672,             0.00017672
                    124,                 1.2118,                 0.7751,                 1.6074,                0.62109,                0.67842,                0.69735,                0.61363,                 1.2067,                 1.7905,                 1.5973,             0.00017626,             0.00017626,             0.00017626
                    125,                  1.247,                0.75909,                  1.611,                 0.6601,                0.71338,                0.67672,                0.59213,                 1.2297,                  1.895,                 1.6016,             0.00017579,             0.00017579,             0.00017579
                    126,                 1.2097,                0.75656,                 1.6086,                 0.6666,                0.66621,                0.71956,                0.62912,                 1.2209,                 2.0489,                 1.6046,             0.00017533,             0.00017533,             0.00017533
                    127,                 1.1891,                0.77055,                 1.6063,                0.65839,                0.74388,                0.69348,                0.60098,                 1.3297,                 1.8692,                 1.6141,             0.00017487,             0.00017487,             0.00017487
                    128,                 1.2033,                0.76343,                 1.6116,                0.67531,                0.71671,                0.70962,                0.61379,                 1.2965,                  1.705,                 1.6109,             0.00017441,             0.00017441,             0.00017441
                    129,                 1.2906,                0.76496,                 1.6031,                  0.695,                0.67606,                0.69484,                 0.6039,                 1.2488,                 1.7876,                 1.6059,             0.00017395,             0.00017395,             0.00017395
                    130,                 1.2224,                0.76672,                 1.6175,                0.60898,                 0.7091,                0.68879,                0.58882,                 1.2918,                 1.9107,                 1.6093,             0.00017349,             0.00017349,             0.00017349
                    131,                 1.2021,                 0.6953,                  1.613,                0.72875,                0.61885,                0.65216,                 0.5674,                 1.2111,                 1.8566,                 1.6032,             0.00017303,             0.00017303,             0.00017303
                    132,                 1.1718,                0.73922,                 1.5975,                0.73299,                0.65092,                  0.642,                 0.5539,                 1.2356,                 1.8909,                 1.6005,             0.00017256,             0.00017256,             0.00017256
                    133,                 1.1686,                0.78197,                 1.5911,                0.72538,                0.65633,                0.67238,                0.58747,                 1.2237,                 1.7807,                 1.5978,              0.0001721,              0.0001721,              0.0001721
                    134,                 1.1347,                0.72181,                  1.584,                0.63406,                0.66894,                0.69259,                0.60951,                 1.1893,                 2.1207,                 1.6007,             0.00017164,             0.00017164,             0.00017164
                    135,                 1.1989,                 0.7254,                 1.5962,                  0.656,                0.67202,                 0.6871,                0.60022,                 1.2251,                 1.7571,                 1.6035,             0.00017118,             0.00017118,             0.00017118
                    136,                 1.2135,                0.76534,                 1.6186,                0.63437,                0.68402,                0.67116,                0.58717,                 1.2515,                 1.8769,                 1.6077,             0.00017072,             0.00017072,             0.00017072
                    137,                 1.2022,                 0.7479,                 1.6145,                0.58817,                0.71778,                0.67844,                0.59234,                 1.2486,                 1.8264,                 1.6081,             0.00017026,             0.00017026,             0.00017026
                    138,                 1.1909,                0.74793,                 1.6023,                0.69405,                0.73224,                0.73585,                0.65371,                 1.2026,                 1.6523,                 1.6022,              0.0001698,              0.0001698,              0.0001698
                    139,                 1.1832,                0.72756,                 1.6013,                 0.7152,                0.70095,                0.78327,                0.69284,                 1.2186,                 1.5907,                 1.5954,             0.00016934,             0.00016934,             0.00016934
                    140,                 1.1936,                0.74282,                 1.6116,                0.70804,                 0.7139,                 0.7531,                0.66299,                 1.2315,                 1.6551,                 1.5977,             0.00016887,             0.00016887,             0.00016887
                    141,                 1.1703,                 0.8031,                 1.5908,                0.75171,                0.64639,                0.69685,                0.60418,                 1.2776,                 1.7401,                 1.6002,             0.00016841,             0.00016841,             0.00016841
                    142,                 1.2076,                0.78614,                 1.5982,                0.75933,                0.63633,                0.70799,                0.62365,                  1.193,                 1.7183,                 1.6012,             0.00016795,             0.00016795,             0.00016795
                    143,                  1.201,                0.73668,                 1.5899,                0.65398,                0.71247,                0.70321,                0.62031,                 1.2001,                 1.8173,                 1.6031,             0.00016749,             0.00016749,             0.00016749
