                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.5702,                 2.2391,                 1.6319,                0.65931,                0.41292,                0.47636,                0.40323,                 1.3643,                 2.7427,                 1.6275,             0.00018779,             0.00018779,             0.00018779
                    100,                 1.5383,                 2.0958,                 1.6425,                0.63645,                0.39987,                0.49395,                0.42056,                 1.3561,                 2.6103,                 1.6349,             0.00018733,             0.00018733,             0.00018733
                    101,                 1.5691,                 2.2025,                 1.6388,                0.63671,                0.42965,                0.50967,                 0.4296,                 1.3505,                 2.4227,                 1.6246,             0.00018687,             0.00018687,             0.00018687
                    102,                 1.5785,                 2.1839,                 1.6258,                0.56291,                0.45079,                0.47423,                0.39394,                 1.3999,                 2.5492,                 1.6294,              0.0001864,              0.0001864,              0.0001864
                    103,                 1.5921,                 2.1365,                 1.6446,                0.66175,                0.43901,                0.51842,                0.43304,                 1.3189,                 2.7202,                  1.622,             0.00018594,             0.00018594,             0.00018594
                    104,                 1.5997,                 2.1562,                 1.6431,                0.65971,                0.39033,                0.51936,                0.44263,                 1.3336,                 2.6547,                 1.6176,             0.00018548,             0.00018548,             0.00018548
                    105,                 1.6317,                 2.2023,                 1.6549,                0.66025,                0.43293,                0.51409,                0.42709,                 1.3515,                 2.2971,                 1.6252,             0.00018502,             0.00018502,             0.00018502
                    106,                  1.581,                 2.1671,                 1.6503,                0.65189,                0.45927,                0.54079,                0.45986,                 1.3289,                 2.4472,                 1.6233,             0.00018456,             0.00018456,             0.00018456
                    107,                 1.5262,                  1.943,                 1.6322,                0.60899,                0.48358,                0.50654,                 0.4143,                 1.3618,                 2.6712,                 1.6228,              0.0001841,              0.0001841,              0.0001841
                    108,                 1.5528,                 2.0415,                 1.6315,                0.66288,                0.39493,                0.51437,                0.43025,                 1.3785,                 2.8891,                 1.6252,             0.00018364,             0.00018364,             0.00018364
                    109,                 1.5624,                 1.9579,                 1.6362,                0.72183,                0.43481,                0.52437,                0.43637,                  1.301,                 2.6754,                 1.6183,             0.00018318,             0.00018318,             0.00018318
                    110,                 1.5412,                 1.9757,                 1.6335,                 0.5174,                0.53483,                0.52384,                0.44173,                 1.3497,                 2.4034,                 1.6232,             0.00018271,             0.00018271,             0.00018271
                    111,                 1.5754,                 2.0018,                 1.6537,                0.49554,                0.53682,                0.53899,                0.45642,                 1.3671,                 2.4869,                 1.6198,             0.00018225,             0.00018225,             0.00018225
                    112,                 1.5344,                 1.9034,                 1.6353,                0.56432,                0.51665,                 0.5647,                0.47457,                 1.4266,                 2.6181,                 1.6245,             0.00018179,             0.00018179,             0.00018179
                    113,                 1.4213,                 1.8407,                 1.6334,                0.55007,                0.56749,                0.60545,                0.51735,                 1.3758,                 2.5839,                 1.6164,             0.00018133,             0.00018133,             0.00018133
                    114,                 1.5469,                 1.9096,                 1.6525,                0.57553,                0.57471,                0.62007,                0.53338,                 1.3004,                  2.433,                 1.6174,             0.00018087,             0.00018087,             0.00018087
                    115,                 1.4768,                 1.8685,                 1.6469,                0.69526,                0.43564,                0.59285,                0.50834,                 1.3321,                 2.6187,                 1.6217,             0.00018041,             0.00018041,             0.00018041
                    116,                 1.5643,                 1.8492,                 1.6338,                0.52339,                0.54644,                0.54834,                0.46928,                  1.339,                 2.6538,                 1.6166,             0.00017995,             0.00017995,             0.00017995
                    117,                 1.5483,                 1.8609,                  1.644,                0.55948,                0.51388,                0.55886,                0.47555,                  1.345,                   2.45,                 1.6217,             0.00017948,             0.00017948,             0.00017948
                    118,                 1.4829,                  1.749,                 1.6413,                0.60649,                0.49996,                0.57803,                0.49658,                 1.3423,                 2.4597,                 1.6291,             0.00017902,             0.00017902,             0.00017902
                    119,                 1.5141,                  1.903,                  1.635,                0.62614,                0.53678,                0.52995,                0.45376,                 1.3648,                 2.5537,                 1.6311,             0.00017856,             0.00017856,             0.00017856
                    120,                 1.4878,                 1.8266,                 1.6243,                0.57907,                0.54066,                0.53003,                  0.446,                   1.33,                 2.6524,                 1.6172,              0.0001781,              0.0001781,              0.0001781
                    121,                 1.4079,                 1.7316,                 1.6294,                0.62686,                0.47212,                0.56865,                0.48375,                 1.3571,                 2.4918,                 1.6191,             0.00017764,             0.00017764,             0.00017764
                    122,                 1.4738,                 1.7301,                 1.6538,                0.54889,                0.54767,                0.56926,                0.48173,                  1.289,                 2.4498,                 1.6178,             0.00017718,             0.00017718,             0.00017718
                    123,                 1.4812,                 1.8493,                 1.6298,                0.60321,                0.52869,                0.59329,                0.49766,                  1.363,                 2.5906,                 1.6198,             0.00017672,             0.00017672,             0.00017672
                    124,                 1.4692,                 1.8349,                 1.6388,                0.45614,                0.57229,                0.55081,                0.45492,                  1.311,                 2.6367,                 1.6177,             0.00017626,             0.00017626,             0.00017626
                    125,                 1.4853,                 1.7614,                 1.6429,                0.45997,                0.58237,                0.56179,                0.47074,                 1.3735,                 2.6421,                  1.623,             0.00017579,             0.00017579,             0.00017579
                    126,                 1.4493,                 1.7361,                 1.6364,                0.55294,                0.52833,                0.57778,                0.49256,                 1.3091,                 2.5334,                 1.6156,             0.00017533,             0.00017533,             0.00017533
                    127,                 1.4423,                 1.7061,                 1.6355,                0.64362,                0.54662,                0.59339,                0.50141,                 1.3282,                 2.4458,                 1.6165,             0.00017487,             0.00017487,             0.00017487
                    128,                 1.4724,                  1.752,                 1.6332,                0.55382,                0.51614,                0.61807,                0.52909,                 1.3285,                 2.4972,                 1.6186,             0.00017441,             0.00017441,             0.00017441
                    129,                 1.5509,                  1.765,                 1.6349,                0.70217,                0.43632,                0.55572,                 0.4832,                 1.2881,                 2.5271,                 1.6138,             0.00017395,             0.00017395,             0.00017395
                    130,                 1.4978,                 1.7387,                 1.6474,                0.44311,                0.56947,                0.53706,                0.45718,                  1.301,                 2.6993,                 1.6154,             0.00017349,             0.00017349,             0.00017349
                    131,                 1.4627,                 1.7079,                 1.6462,                0.61201,                0.43983,                0.51726,                0.44819,                  1.312,                 2.6054,                 1.6141,             0.00017303,             0.00017303,             0.00017303
                    132,                 1.4346,                 1.6842,                 1.6244,                0.54688,                0.53705,                0.53402,                0.46181,                 1.3712,                  2.532,                 1.6282,             0.00017256,             0.00017256,             0.00017256
                    133,                 1.4183,                 1.7005,                 1.6234,                0.61875,                0.42465,                0.59818,                0.51097,                  1.363,                 2.5932,                  1.618,              0.0001721,              0.0001721,              0.0001721
                    134,                 1.4096,                 1.6454,                  1.614,                0.66148,                  0.468,                0.58342,                0.50539,                 1.3081,                 2.6596,                 1.6157,             0.00017164,             0.00017164,             0.00017164
                    135,                 1.4783,                 1.6154,                  1.629,                0.77528,                0.44655,                0.60211,                 0.5143,                  1.307,                 2.4111,                 1.6151,             0.00017118,             0.00017118,             0.00017118
                    136,                 1.4605,                 1.7024,                 1.6377,                0.82153,                0.39146,                 0.5628,                0.48123,                 1.3348,                 2.5344,                 1.6184,             0.00017072,             0.00017072,             0.00017072
                    137,                 1.4325,                 1.6469,                 1.6396,                0.64266,                 0.4561,                0.57034,                 0.4858,                 1.3099,                 2.7344,                 1.6214,             0.00017026,             0.00017026,             0.00017026
                    138,                   1.49,                 1.6001,                 1.6329,                0.57375,                0.52916,                0.54904,                0.47045,                 1.2783,                 2.6079,                 1.6172,              0.0001698,              0.0001698,              0.0001698
                    139,                 1.4373,                 1.6098,                 1.6341,                0.57965,                0.54302,                0.61126,                0.52581,                 1.3588,                 2.4559,                 1.6203,             0.00016934,             0.00016934,             0.00016934
                    140,                 1.4736,                 1.5894,                 1.6364,                 0.5601,                0.52221,                0.61432,                0.52693,                 1.3495,                 2.4879,                 1.6156,             0.00016887,             0.00016887,             0.00016887
