                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.3456,                0.96308,                 1.6473,                 0.7098,                0.70324,                 0.7002,                0.60369,                 1.2586,                 1.6007,                 1.6221,              0.0001984,              0.0001984,              0.0001984
                     77,                 1.2877,                0.91466,                 1.6245,                0.82295,                0.64885,                0.71464,                0.62361,                 1.2592,                 1.6062,                 1.6169,             0.00019794,             0.00019794,             0.00019794
                     78,                 1.3087,                0.92958,                 1.6284,                0.75175,                0.65599,                0.73345,                0.64049,                 1.2483,                 1.6443,                 1.6184,             0.00019748,             0.00019748,             0.00019748
                     79,                 1.3276,                0.95684,                 1.6109,                0.77286,                0.62661,                0.75022,                0.64011,                 1.3249,                 1.5474,                 1.6326,             0.00019702,             0.00019702,             0.00019702
                     80,                 1.2743,                0.89843,                 1.6119,                0.73685,                0.66476,                0.72924,                0.61882,                 1.3122,                 1.6706,                 1.6337,             0.00019655,             0.00019655,             0.00019655
                     81,                 1.3221,                0.92034,                 1.6219,                0.79535,                0.67062,                0.73118,                0.62861,                 1.2257,                 1.6191,                 1.6216,             0.00019609,             0.00019609,             0.00019609
                     82,                 1.3476,                0.88472,                 1.6081,                0.81204,                0.67523,                0.73244,                 0.6373,                 1.2342,                 1.5573,                 1.6139,             0.00019563,             0.00019563,             0.00019563
                     83,                 1.2816,                0.85952,                 1.6126,                0.75436,                0.72154,                0.76885,                0.68077,                 1.2122,                  1.573,                 1.6109,             0.00019517,             0.00019517,             0.00019517
                     84,                 1.2611,                0.90506,                 1.6187,                0.76147,                0.70069,                0.76305,                  0.663,                 1.2715,                 1.5932,                 1.6115,             0.00019471,             0.00019471,             0.00019471
                     85,                 1.2692,                0.89157,                 1.6262,                0.77855,                0.65254,                0.77675,                0.67335,                 1.2402,                 1.6028,                 1.6106,             0.00019425,             0.00019425,             0.00019425
                     86,                 1.3269,                0.89555,                 1.6182,                0.80433,                0.61432,                0.75901,                0.66613,                  1.202,                 1.5515,                 1.6083,             0.00019379,             0.00019379,             0.00019379
                     87,                 1.2718,                0.85403,                 1.6039,                 0.7731,                0.65623,                0.75043,                0.66481,                 1.1856,                 1.5005,                 1.6085,             0.00019332,             0.00019332,             0.00019332
                     88,                 1.2753,                0.86412,                 1.6265,                0.72518,                0.64093,                0.73861,                 0.6437,                 1.2393,                 1.6829,                 1.6162,             0.00019286,             0.00019286,             0.00019286
